time;x-coordinate of end of beam;y-coordinate of end of beam
1.7800000000000014;-2.797302783590465e-05;-0.00023010027241396555
1.7900000000000014;-2.031217648996249e-05;0.0005315686584419254
1.8000000000000014;-1.27158381673026e-05;0.0007854174339442762
1.8100000000000014;-8.170483631903285e-06;0.000650094204768095
1.8200000000000014;-3.2523081742332085e-06;0.0002972143539457125
1.8300000000000014;1.4022593798621466e-06;-0.00020984504860768969
1.8400000000000014;1.5832380295511683e-06;-0.0008726100095209252
1.8500000000000014;-5.140087530488858e-06;-0.001716924904880122
1.8600000000000014;-1.2952024992660193e-05;-0.002742119353250415
1.8700000000000014;-2.0501178310566127e-05;-0.0039855973405797575
1.8800000000000014;-3.8611739328179515e-05;-0.005458739659556104
1.8900000000000015;-7.183623496567186e-05;-0.007084696970102272
1.9000000000000015;-0.00012188725152228986;-0.0089604974640386
1.9100000000000015;-0.00019133943214078193;-0.011273356875562163
1.9200000000000015;-0.0002934091545396561;-0.014063716674790816
1.9300000000000015;-0.00044704801744651127;-0.01728578158706091
1.9400000000000015;-0.0006599190799995835;-0.020855425130777466
1.9500000000000015;-0.000939564220999129;-0.02468906514243069
1.9600000000000015;-0.0013013324932501392;-0.02873666434709766
1.9700000000000015;-0.0017524536081621543;-0.03294365930630419
1.9800000000000015;-0.002281926413399056;-0.03728291501611466
1.9900000000000015;-0.0028750212413266277;-0.041718448445430274
2.0000000000000013;-0.0035160954571624116;-0.04610895261630312
2.010000000000001;-0.004186248427304118;-0.050319036678942275
2.020000000000001;-0.00488089040819186;-0.05439721153884246
2.0300000000000007;-0.0056151987268973575;-0.058475135196688025
2.0400000000000005;-0.006403475689310369;-0.06259801429900912
2.0500000000000003;-0.007260465623815822;-0.06677452278714378
2.06;-0.008204717036040147;-0.07103446855975494
2.07;-0.009238870596230398;-0.07534521649428184
2.0799999999999996;-0.010370094317707789;-0.07965449160633203
2.0899999999999994;-0.01161469111332398;-0.08400666130118306
2.099999999999999;-0.012968100227576981;-0.08844449961855713
2.109999999999999;-0.014414577216297509;-0.09290698568189393
2.1199999999999988;-0.01591267988162375;-0.09723805124534825
2.1299999999999986;-0.017390261952898174;-0.10127850166265223
2.1399999999999983;-0.018801500346188067;-0.10499444353771194
2.149999999999998;-0.020125933769099078;-0.10840208463901477
2.159999999999998;-0.021328916985406298;-0.1114734235374844
2.1699999999999977;-0.02240058890846075;-0.11425544624121449
2.1799999999999975;-0.023354708105741445;-0.11678752637299361
2.1899999999999973;-0.024178022573311406;-0.11897569425187877
2.199999999999997;-0.024880791649920166;-0.12080495707967924
2.209999999999997;-0.025505907716174756;-0.12238846552995915
2.2199999999999966;-0.02609304433606348;-0.12383547609953159
2.2299999999999964;-0.026675528174255076;-0.1251855191516579
2.239999999999996;-0.027250030792717362;-0.12640754442461205
2.249999999999996;-0.027780915330323865;-0.12746351570144562
2.259999999999996;-0.028231136816620917;-0.12826719605328796
2.2699999999999956;-0.028578285184444243;-0.12874599311493534
2.2799999999999954;-0.028787599174555534;-0.12891613964000764
2.289999999999995;-0.028825883256420628;-0.12881362667361082
2.299999999999995;-0.028679618583182707;-0.1284153179809425
2.3099999999999947;-0.028310702175494935;-0.12760513284957012
2.3199999999999945;-0.02769071547337521;-0.12632531176810347
2.3299999999999943;-0.026844612389224864;-0.12462717196134133
2.339999999999994;-0.025813856924897845;-0.12253437055755918
2.349999999999994;-0.02466881367676643;-0.12012771642341769
2.3599999999999937;-0.023481714730891782;-0.11756031594684334
2.3699999999999934;-0.022270053907440433;-0.11485362460413294
2.3799999999999932;-0.02105007935736949;-0.11194963667674766
2.389999999999993;-0.01985604356525784;-0.10886365125295695
2.399999999999993;-0.018697838728484267;-0.1056715627925628
2.4099999999999926;-0.0175687895630513;-0.10242548361925444
2.4199999999999924;-0.016476278800381335;-0.09913205745885452
2.429999999999992;-0.015400021331965004;-0.09574068517512961
